108207438,108207438,bot2,108207438,107305111,107306007,107405221,108207438,108102055,108207438,-,-,108207438,108304034,108207438,109102027,109204039,108207438,109703065,109703066,110703002,110703004,110703005,110703006,108207438,110703009,110703011,110703012,108207438,110703014,110703015,110703017,110703018,110703019,110703020,108207438,108207438,110703024,110703025,108207438,108207438,-,110703037,-,110703039,108207438,110703041,108207438,110703044,Tie,110703046,-,108207438,110703049,108207438,108207438,108207438,108207438,110703054,110703055,110703057,110703058,110703059,110703060,108207438,110703062,108207438,108207438
108208117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108303067,108303067,108303067,108303067,107305111,107306007,107405221,108303067,108102055,Tie,108207438,-,-,108304034,108303067,109102027,108303067,108303067,109703065,109703066,110703002,110703004,110703005,110703006,108303067,110703009,110703011,110703012,108303067,110703014,110703015,110703017,110703018,110703019,110703020,108303067,108303067,110703024,110703025,108303067,108303067,-,110703037,-,110703039,108303067,110703041,108303067,110703044,Tie,110703046,-,108303067,110703049,Tie,108303067,108303067,108303067,110703054,110703055,110703057,110703058,110703059,110703060,108303067,110703062,108303067,108303067
108304034,108304034,bot2,108304034,108304034,108304034,107405221,108304034,108102055,108304034,108304034,-,108304034,-,108304034,109102027,108304034,108304034,109703065,108304034,108304034,108304034,108304034,108304034,108304034,108304034,110703011,108304034,108304034,110703014,110703015,110703017,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,-,108304034,-,108304034,108304034,110703041,108304034,108304034,Tie,108304034,-,108304034,110703049,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034
108306017,Tie,bot2,Tie,107305111,107306007,107405221,Tie,108102055,108205031,108207438,-,Tie,108304034,-,109102027,109204039,108306017,109703065,109703066,110703002,110703004,110703005,110703006,108306017,110703009,110703011,110703012,108306017,110703014,110703015,110703017,110703018,110703019,110703020,Tie,108306017,110703024,110703025,110703026,108306017,-,110703037,-,110703039,108306017,110703041,108306017,110703044,Tie,110703046,-,108306017,110703049,110703050,108306017,108306017,110703053,110703054,110703055,110703057,110703058,110703059,110703060,108306017,110703062,108306017,108306017
109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,-,109102027,109102027,109102027,-,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,110703011,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,-,110703037,-,110703039,109102027,109102027,109102027,109102027,Tie,109102027,-,109102027,110703049,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027
109204039,109204039,bot2,109204039,109204039,109204039,107405221,109204039,108102055,109204039,109204039,-,109204039,108304034,109204039,109102027,-,109204039,109703065,109204039,109204039,109204039,110703005,110703006,109204039,109204039,110703011,109204039,109204039,109204039,109204039,110703017,109204039,109204039,109204039,109204039,109204039,109204039,109204039,109204039,109204039,-,109204039,-,110703039,109204039,110703041,109204039,109204039,Tie,110703046,-,109204039,110703049,109204039,109204039,109204039,109204039,110703054,109204039,110703057,109204039,109204039,109204039,109204039,109204039,109204039,109204039
109208064,bot1,bot2,bot3,107305111,107306007,107405221,107601127,108102055,108205031,108207438,-,108303067,108304034,108306017,109102027,109204039,-,109703065,109703066,110703002,110703004,110703005,110703006,110703007,110703009,110703011,110703012,110703013,110703014,110703015,110703017,110703018,110703019,110703020,110703022,110703023,110703024,110703025,110703026,110703028,-,110703037,-,110703039,110703040,110703041,110703043,110703044,110703045,110703046,-,110703048,110703049,110703050,110703051,110703052,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703061,110703062,110703064,110703065
109703065,109703065,bot2,109703065,109703065,109703065,107405221,109703065,108102055,108205031,109703065,-,109703065,108304034,109703065,109102027,109703065,109703065,-,109703065,109703065,109703065,110703005,109703065,109703065,110703009,110703011,109703065,109703065,109703065,109703065,110703017,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,-,109703065,-,109703065,109703065,109703065,109703065,109703065,Tie,110703046,-,109703065,110703049,109703065,109703065,109703065,109703065,110703054,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065
109703066,109703066,bot2,109703066,107305111,107306007,107405221,109703066,108102055,109703066,109703066,-,109703066,108304034,109703066,109102027,109204039,109703066,109703065,-,110703002,110703004,110703005,110703006,109703066,110703009,Tie,Tie,109703066,110703014,110703015,110703017,110703018,110703019,110703020,109703066,109703066,Tie,110703025,109703066,109703066,-,110703037,-,110703039,109703066,110703041,109703066,109703066,Tie,110703046,-,109703066,110703049,109703066,109703066,109703066,109703066,110703054,110703055,110703057,110703058,109703066,Tie,109703066,109703066,109703066,109703066
